longitude    latitude     depth_km        density_kgm3   
121.58333    -10.91667    0.000           1028.97        
121.58333    -10.91667    1.022           1028.97        
121.66667    -10.91667    0.000           1028.83        
121.66667    -10.91667    1.004           1028.83        
121.75000    -10.91667    0.000           1029.34        
121.75000    -10.91667    1.183           1029.34        
121.83333    -10.91667    0.000           1029.48        
121.83333    -10.91667    1.190           1029.48        
121.91667    -10.91667    0.000           1029.78        
121.91667    -10.91667    1.274           1029.78        
122.00000    -10.91667    0.000           1029.77        
122.00000    -10.91667    1.259           1029.77        
122.08333    -10.91667    0.000           1029.92        
122.08333    -10.91667    1.307           1029.92        
122.16667    -10.91667    0.000           1029.18        
122.16667    -10.91667    1.112           1029.18        
122.25000    -10.91667    0.000           1028.52        
122.25000    -10.91667    0.879           1028.52        
122.33333    -10.91667    0.000           1027.85        
122.33333    -10.91667    0.718           1027.85        
122.41667    -10.91667    0.000           1027.25        
122.41667    -10.91667    0.557           1027.25        
122.50000    -10.91667    0.000           1026.57        
122.50000    -10.91667    0.395           1026.57        
122.58333    -10.91667    0.000           1026.02        
122.58333    -10.91667    0.341           1026.02        
122.66667    -10.91667    0.000           1025.16        
122.66667    -10.91667    0.230           1025.16        
122.75000    -10.91667    0.000           1023.79        
122.75000    -10.91667    0.096           1023.79        
122.83333    -10.91667    0.000           1022.99        
122.83333    -10.91667    0.032           1022.99        
122.91667    -10.91667    0.000           1023.51        
122.91667    -10.91667    0.057           1023.51        
123.00000    -10.91667    0.000           1024.18        
123.00000    -10.91667    0.135           1024.18        
123.08333    -10.91667    0.000           1025.65        
123.08333    -10.91667    0.264           1025.65        
123.16667    -10.91667    0.000           1027.48        
123.16667    -10.91667    0.692           1027.48        
123.25000    -10.91667    0.000           1029.01        
123.25000    -10.91667    1.026           1029.01        
123.33333    -10.91667    0.000           1029.88        
123.33333    -10.91667    1.353           1029.88        
123.41667    -10.91667    0.000           1031.06        
123.41667    -10.91667    1.740           1031.06        
123.50000    -10.91667    0.000           1031.60        
123.50000    -10.91667    1.924           1031.60        
123.58333    -10.91667    0.000           1031.88        
123.58333    -10.91667    1.030           1031.88        
123.58333    -10.91667    2.061           1031.88        
123.66667    -10.91667    0.000           1031.75        
123.66667    -10.91667    1.012           1031.75        
123.66667    -10.91667    2.024           1031.75        
123.75000    -10.91667    0.000           1032.14        
123.75000    -10.91667    1.079           1032.14        
123.75000    -10.91667    2.157           1032.14        
123.83333    -10.91667    0.000           1032.01        
123.83333    -10.91667    1.053           1032.01        
123.83333    -10.91667    2.106           1032.01        
123.91667    -10.91667    0.000           1032.01        
123.91667    -10.91667    1.050           1032.01        
123.91667    -10.91667    2.100           1032.01        
124.00000    -10.91667    0.000           1031.61        
124.00000    -10.91667    1.973           1031.61        
124.08333    -10.91667    0.000           1031.33        
124.08333    -10.91667    1.857           1031.33        
124.16667    -10.91667    0.000           1030.92        
124.16667    -10.91667    1.676           1030.92        
124.25000    -10.91667    0.000           1030.35        
124.25000    -10.91667    1.483           1030.35        
124.33333    -10.91667    0.000           1029.77        
124.33333    -10.91667    1.289           1029.77        
124.41667    -10.91667    0.000           1029.47        
124.41667    -10.91667    1.158           1029.47        
124.50000    -10.91667    0.000           1029.00        
124.50000    -10.91667    1.030           1029.00        
124.58333    -10.91667    0.000           1028.54        
