longitude	latitude	depth
119.37500	-2.37500	0.00000
119.45833	-2.37500	0.00000
119.54167	-2.37500	0.00000
119.62500	-2.37500	0.00000
119.70833	-2.37500	0.00000
119.79167	-2.37500	0.00000
119.87500	-2.37500	0.00000
119.95833	-2.37500	0.00000
120.04167	-2.37500	0.00000
120.12500	-2.37500	0.00000
120.20833	-2.37500	0.00000
120.29167	-2.37500	0.00000
120.37500	-2.37500	0.00000
120.45833	-2.37500	0.00000
120.54167	-2.37500	0.00000
120.62500	-2.37500	0.00000
120.70833	-2.37500	0.00000
120.79167	-2.37500	0.00000
120.87500	-2.37500	0.00000
120.95833	-2.37500	0.00000
121.04167	-2.37500	0.00000
121.12500	-2.37500	0.00000
121.20833	-2.37500	0.00000
121.29167	-2.37500	0.00000
121.37500	-2.37500	0.00000
121.45833	-2.37500	0.00000
121.54167	-2.37500	0.00000
121.62500	-2.37500	0.00000
121.70833	-2.37500	0.00000
121.79167	-2.37500	0.00000
121.87500	-2.37500	65.82287
121.95833	-2.37500	461.58347
122.04167	-2.37500	822.63776
122.12500	-2.37500	1200.37366
122.20833	-2.37500	1357.06140
122.29167	-2.37500	1234.31445
122.37500	-2.37500	1320.92712
122.45833	-2.37500	1387.68945
122.54167	-2.37500	1511.83203
122.62500	-2.37500	1693.82227
122.70833	-2.37500	1883.24939
122.79167	-2.37500	1809.14661
122.87500	-2.37500	1403.65356
122.95833	-2.37500	1316.95337
123.04167	-2.37500	1500.80981
123.12500	-2.37500	1807.95349
123.20833	-2.37500	2511.97388
123.29167	-2.37500	2752.14526
123.37500	-2.37500	2639.52393
123.45833	-2.37500	3420.90039
123.54167	-2.37500	4061.45898
123.62500	-2.37500	4182.76123
123.70833	-2.37500	4177.53662
123.79167	-2.37500	4309.51465
123.87500	-2.37500	4617.16455
123.95833	-2.37500	4789.41260
124.04167	-2.37500	4859.36621
124.12500	-2.37500	4301.19775
124.20833	-2.37500	4040.43262
124.29167	-2.37500	4067.65625
124.37500	-2.37500	4257.73633
124.45833	-2.37500	2854.93530
124.54167	-2.37500	2742.24316
124.62500	-2.37500	2733.49780
124.70833	-2.37500	2902.32300
124.79167	-2.37500	2903.40259
