lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
123.0417,-2.2083,55.7838,-784.48,-53.950042932956485,109.73384293295649
123.125,-2.2083,81.2051,-249.58,-17.164047158891595,98.3691471588916
123.2083,-2.2083,65.0365,-400.31,-27.530009288307937,92.56650928830794
123.2917,-2.2083,40.7173,-1228.75,-84.50325725814588,125.22055725814587
123.375,-2.2083,75.861,-546.73,-37.599565282397634,113.46056528239764
123.4583,-2.2083,113.8689,-46.06,-3.1676256596624204,117.03652565966242
123.5417,-2.2083,90.9114,-333.09,-22.907173924814494,113.8185739248145
123.625,-2.2083,80.4958,-504.12,-34.669202074446794,115.16500207444679
123.7083,-2.2083,58.4727,-739.72,-50.87182051596799,109.34452051596799
123.7917,-2.2083,49.8342,-1490.69,-102.51732293969114,152.35152293969114
123.875,-2.2083,45.3867,-1537.71,-105.750969455482,151.13766945548198
123.9583,-2.2083,51.3999,-1441.48,-99.13306634585727,150.5329663458573
124.0417,-2.2083,58.0543,-1589.15,-109.28858699636422,167.3428869963642
124.125,-2.2083,53.7243,-2066.16,-142.09338760243392,195.81768760243392
124.2083,-2.2083,44.4469,-2510.14,-172.6266581273345,217.0735581273345
124.2917,-2.2083,37.4455,-1852.96,-127.43125580390965,164.87675580390965
124.375,-2.2083,44.2284,-1682.43,-115.70361351684424,159.93201351684425
124.4583,-2.2083,62.9034,-1305.77,-89.80005552795046,152.70345552795047
124.5417,-2.2083,62.5506,-1148.1,-78.95681762610562,141.50741762610562
124.625,-2.2083,36.9584,-1969.13,-135.42046711270217,172.37886711270215
124.7083,-2.2083,28.544,-2235.06,-153.70893197753125,182.25293197753126
124.7917,-2.2083,50.9378,-2153.68,-148.1122889861433,199.05008898614332
124.875,-2.2083,71.2388,-2097.57,-144.25350748888633,215.49230748888633
124.9583,-2.2083,89.1428,-1937.24,-133.22733679818558,222.37013679818557
125.0417,-2.2083,85.1958,-2104.7,-144.74384988909023,229.93964988909022
125.125,-2.2083,69.3131,-2610.45,-179.5251498755051,248.83824987550508
125.2083,-2.2083,47.1371,-3276.17,-225.30786273157256,272.44496273157256
125.2917,-2.2083,34.7828,-3584.89,-246.53906971487655,281.3218697148765
125.375,-2.2083,31.2637,-3851.75,-264.8914922840801,296.15519228408004
125.4583,-2.2083,12.701,-3990.77,-274.4521375121797,287.15313751217974
125.5417,-2.2083,2.6267,-4477.68,-307.93777819707395,310.564478197074
125.625,-2.2083,7.3112,-4534.4,-311.83851044666255,319.14971044666254
125.7083,-2.2083,33.6639,-4247.92,-292.1367866303341,325.8006866303341
125.7917,-2.2083,114.8632,-2379.77,-163.66088832164218,278.5240883216422
125.875,-2.2083,253.4024,-361.25,-24.843785704582054,278.24618570458205
126.0417,-2.2083,204.2645,-582.41,-40.0533404351713,244.3178404351713
126.125,-2.2083,110.7071,-2452.36,-168.65302784910406,279.36012784910406
126.2083,-2.2083,76.5721,-3138.84,-215.86344171894902,292.435541718949
126.2917,-2.2083,80.5594,-2871.42,-197.4725069836706,278.0319069836706
126.375,-2.2083,100.1622,-2520.99,-173.37283134503613,273.53503134503615
126.4583,-2.2083,112.1401,-2351.42,-161.7112099140992,273.8513099140992
126.5417,-2.2083,110.9123,-2383.55,-163.9208454426479,274.8331454426479
126.625,-2.2083,88.5532,-2760.86,-189.86910505287864,278.42230505287864
126.7083,-2.2083,92.7299,-2712.35,-186.53298866663843,279.26288866663845
126.7917,-2.2083,100.7034,-2401.6,-165.16217508131282,265.86557508131284
126.875,-2.2083,98.9126,-2514.39,-172.9189379591531,271.83153795915314
126.9583,-2.2083,70.5887,-2823.33,-194.16527472198658,264.7539747219866
127.0417,-2.2083,68.7879,-2775.45,-190.87248452258063,259.6603845225806
127.125,-2.2083,95.0849,-2375.12,-163.34109979977003,258.42599979977
127.2083,-2.2083,96.4005,-2315.43,-159.23611552653404,255.63661552653403
127.2917,-2.2083,75.2947,-2687.74,-184.8405165110958,260.1352165110958
127.375,-2.2083,33.6242,-2872.1,-197.51927175676155,231.14347175676156
127.4583,-2.2083,28.7082,-2908.73,-200.03838004841234,228.74658004841234
127.5417,-2.2083,18.2934,-2964.97,-203.90610186993675,222.19950186993674
127.625,-2.2083,-14.004,-3308.73,-227.5470701019288,213.5430701019288
127.7083,-2.2083,-47.1572,-3195.7,-219.77380201005636,172.61660201005634
