Longitude,Latitude,Gravity_mGal,Normal_Gravity_mGal,Height_m,KoreksigF,DeltaGF_mGal,KoreksigB,DeltaGB_mGal
118.875,-3.2917,978070.05,978049.9888,-3.31,-1.021466,19.03973399999646,-0.37059992391152813,19.410333923907988
118.875,-3.2083,978057.7,978048.2886,121.4,37.46404,46.875439999982675,13.592396000863902,33.283043999118775
118.875,-3.125,978057.7,978048.2886,153.64,47.413304,56.824703999982674,17.202106437996125,39.62259756198655
118.875,-3.0417,978054.3833,978047.4711,-1.28,-0.39500799999999997,6.517192000020676,-0.14331356574222237,6.6605055657628975
118.875,-2.9583,978077.95,978045.9013,-2.43,-0.7498980000000001,31.29880199992661,-0.2720718474637503,31.57087384739036
118.875,-2.875,978077.95,978045.9013,-3.45,-1.06467,30.984029999926612,-0.3862748451645837,31.370304845091194
118.875,-2.7917,978032.6,978045.149,238.09,73.474574,60.925574000000935,26.65744286528572,34.26813113471522
118.875,-2.7083,978041.2667,978043.7095,102.45,31.61607,29.173270000039302,11.470683445539594,17.70258655449971
118.875,-2.625,978072.4833,978043.0224,17.72,5.468392,34.92929199994729,1.9839971757438906,32.9452948242034
118.875,-2.5417,978072.4833,978043.0224,-2.88,-0.8887679999999999,28.57213199994729,-0.3224555229200003,28.894587522867287
118.9583,-9.7083,978303.2167,978178.0922,-4.38,-1.3516679999999999,123.77283200003446,-0.4904011077741671,124.26323310780862
118.9583,-9.625,978303.2167,978178.0922,-4.05,-1.24983,123.87467000003446,-0.4534530791062504,124.32812307914071
118.9583,-9.5417,978314.2167,978175.6171,44.82,13.831451999999999,152.43105199995773,5.018214075442505,147.41283792451523
118.9583,-9.4583,978234.0,978170.7286,-3.38,-1.0430679999999999,62.22833199996871,-0.3784373845380559,62.60676938450676
118.9583,-9.375,978234.0,978170.7286,-3.05,-0.9412299999999999,62.33016999996871,-0.3414893558701392,62.67165935583885
118.9583,-9.2917,978214.8601,978168.3154,-2.71,-0.836306,45.70839400008587,-0.3034216899698614,46.01181569005573
118.9583,-8.9583,978162.5,978156.5597,-3.39,-1.046154,4.894146000016578,-0.37955702177041706,5.273703021786995
118.9583,-8.875,978184.35,978154.2709,-3.39,-1.046154,29.03294599997355,-0.37955702177041706,29.412503021743966
118.9583,-8.7917,978184.35,978154.2709,-3.38,-1.0430679999999999,29.036031999973552,-0.3784373845380559,29.41446938451161
118.9583,-8.7083,978177.3,978149.7556,33.61,10.372046,37.91644600001341,3.763100737965698,34.15334526204771
118.9583,-8.625,978177.3,978149.7556,320.83,99.00813799999999,126.5525380000134,35.92132132584156,90.63121667417184
118.9583,-8.5417,978204.3667,978147.5292,232.21,71.660006,128.4975060000233,25.999096172657385,102.4984098273659
118.9583,-8.4583,978201.7833,978143.139,538.0,166.02679999999998,224.67110000004357,60.23648310102784,164.43461689901574
118.9583,-8.375,978201.7833,978143.139,249.02,76.847572,135.4918720000436,27.881206360256417,107.61066563978719
118.9583,-8.2917,978242.2833,978140.9752,-3.35,-1.03381,100.27429000002384,-0.37507847284097257,100.64936847286481
118.9583,-8.2083,978172.2667,978136.7104,-3.34,-1.030724,34.52557600005476,-0.37395883560861143,34.899534835663374
118.9583,-8.125,978172.2667,978136.7104,-3.34,-1.030724,34.52557600005476,-0.37395883560861143,34.899534835663374
118.9583,-8.0417,978118.4606,978134.6094,-3.33,-1.027638,-17.176437999966286,-0.37283919837625035,-16.803598801590034
118.9583,-3.625,978038.4667,978052.7016,-2.79,-0.8609939999999999,-15.095894000039488,-0.3123787878287503,-14.783515212210737
118.9583,-3.5417,978038.4667,978052.7016,20.42,6.301612,-7.933288000039488,2.286299228481391,-10.21958722852088
118.9583,-3.4583,978020.4833,978050.8714,310.84,95.92522399999999,65.53712400001805,34.80280373071281,30.734320269305243
118.9583,-3.375,978020.4833,978050.8714,148.56,45.845616,15.457516000018067,16.633330723956682,-1.1758147239386147
118.9583,-3.2917,977983.3833,978049.9888,994.98,307.05082799999997,240.44532799993664,111.40166534546594,129.0436626544707
118.9583,-3.2083,977929.3167,978048.2886,702.57,216.81310200000001,97.84120199999592,78.66235303399466,19.178848966001254
118.9583,-3.125,977929.3167,978048.2886,521.82,161.03365200000002,42.06175199999592,58.42491005906756,-16.363158059071637
118.9583,-3.0417,977983.4,978047.4711,1242.2,383.34292,319.2718200000572,139.08133700389735,180.19048299615983
118.9583,-2.9583,977986.5667,978045.9013,1009.47,311.522442,252.18784199993985,113.0240196951572,139.16382230478266
118.9583,-2.875,977986.5667,978045.9013,750.67,231.656762,172.32216199993982,84.0478081216516,88.27435387828822
118.9583,-2.7917,978054.2167,978045.149,1021.32,315.179352,324.24705200001415,114.35078981550511,209.89626218450906
118.9583,-2.7083,978096.9333,978043.7095,449.7,138.77741999999998,192.0012200000361,50.350086339279216,141.6511336607569
118.9583,-2.625,978059.65,978043.0224,462.55,142.74293,159.37053000000708,51.78882018286324,107.58170981714383
118.9583,-2.5417,978059.65,978043.0224,-1.55,-0.47833,16.14927000000708,-0.17354377101597238,16.32281377102305
119.0417,-9.9583,978261.6,978185.6412,-5.18,-1.5985479999999999,74.36025200002217,-0.5799720863630561,74.94022408638523
119.0417,-9.875,978261.6,978185.6412,-4.85,-1.4967099999999998,74.46209000002217,-0.5430240576951394,75.00511405771731
119.0417,-9.7917,978271.5,978183.1043,-4.51,-1.391786,87.00391399999367,-0.5049563917948615,87.50887039178853
119.0417,-9.7083,978303.8,978178.0922,-4.18,-1.2899479999999999,124.41785200009109,-0.4680083631269448,124.88586036321803
119.0417,-9.625,978303.8,978178.0922,99.48,30.699528,156.40732800009107,11.138151187528344,145.26917681256273
119.0417,-9.5417,978308.3,978175.6171,116.46,35.939555999999996,168.62245600001432,13.039295208077512,155.58316079193682
119.0417,-9.4583,978266.3167,978170.7286,67.43,20.808898000000003,116.39699799993537,7.54971385781098,108.84728414212438
119.0417,-9.375,978266.3167,978170.7286,-2.85,-0.87951,94.70858999993537,-0.319096611222917,95.02768661115829
119.0417,-9.2917,978188.55,978168.3154,-2.52,-0.7776719999999999,19.456928000083447,-0.28214858255500025,19.739076582638447
119.0417,-8.9583,978173.5297,978156.5597,-3.4,-1.04924,15.920759999972061,-0.38067665900277814,16.30143665897484
119.0417,-8.875,978183.0833,978154.2709,-3.4,-1.04924,27.763160000053457,-0.38067665900277814,28.143836659056234
119.0417,-8.7917,978183.0833,978154.2709,-3.39,-1.046154,27.766246000053457,-0.37955702177041706,28.145803021823873
119.0417,-8.7083,978225.9,978149.7556,240.31,74.159666,150.30406599999014,26.906002330869885,123.39806366912026
119.0417,-8.625,978225.9,978149.7556,-3.38,-1.0430679999999999,75.10133199999012,-0.3784373845380559,75.47976938452818
119.0417,-8.5417,978253.5667,978147.5292,-3.37,-1.039982,104.99751799997672,-0.3773177473056948,105.37483574728242
119.0417,-8.4583,978246.3667,978143.139,86.69,26.752533999999997,129.98023400004675,9.70613516733848,120.27409883270826
119.0417,-8.375,978246.3667,978143.139,-3.36,-1.0368959999999998,102.19080400004675,-0.37619811007333365,102.56700211012009
119.0417,-8.2917,978215.3,978140.9752,-3.36,-1.0368959999999998,73.28790400006035,-0.37619811007333365,73.66410211013368
119.0417,-8.2083,978014.5833,978136.7104,867.57,267.732102,145.60500200007488,97.13636736795301,48.46863463212186
119.0417,-8.125,978158.4667,978134.6094,-3.35,-1.03381,22.82349000003241,-0.37507847284097257,23.198568472873383
119.0417,-8.0417,978158.4667,978134.6094,-3.34,-1.030724,22.82657600003241,-0.37395883560861143,23.200534835641022
119.0417,-3.625,978051.6,978052.7016,-2.83,-0.873338,-1.9749380000527128,-0.3168573367581948,-1.658080663294518
119.0417,-3.5417,978051.6,978052.7016,-3.15,-0.9720899999999999,-2.0736900000527125,-0.3526857281937503,-1.7210042718589622
